model_name,margin,inv_margin,l1_inf_norm,frobenius_norm,spectral_norm,trace_norm,l1_inf_norm_margin,frobenius_norm_margin,spectral_norm_margin,trace_norm_margin,l1_inf_norm_squared_margin,frobenius_norm_squared_margin,spectral_norm_squared_margin,trace_norm_squared_margin,mu_fro_spec,mu_spec_init_main,mu_spec_origin_main,mu_sum_of_fro,mu_sum_of_fro_margin,log_product_spectral_norms,log_product_frobenius_norms,frobenius_distance,spectral_distance,mu_path_norm,mu_path_norm_margin,l1_max_bound,frobenius_bound,spec_l2_1_bound,spec_fro_bound,flatness
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_adam,1.449204301834107,0.6900338335556996,19280382.412515298,220364.7110127353,1186.178918418725,504969254.60783935,13304116.188527819,152059.10632051164,818.5035863594263,348445870.5848115,9180290.295640294,104925.92806139635,564.7951674746836,240439439.86629066,16.92756185846196,9043.275442413833,9560.60513478809,58.55964212892004,50.48316422762923,7.078492426880084,12.303039230069038,71.81089544296265,19.92694056034088,192.0302507093609,91.43456853387865,473546.2232831856,5412.386249000631,252125.5394197958,31300.049741408013,2.7118190182833803e-05
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_adam,-0.12630598545074456,-7.917281167882334,5445292.16450234,109032.15824208397,526.3953828096608,280029930.9466446,-43111909.10763161,-863238.253143618,-4167.620251179139,-2217075698.7272596,341329106.08930665,6834499.96500961,32996.221329545646,17553211677.302902,13.932216926761765,516923.96562610276,459710.5133266734,50.87224764333591,116.38884366774795,6.266052608714396,11.599398147442454,50.704917907714844,13.64984130859375,92.57126688732849,5802.676297552572,133742.03291215765,2677.943084699309,92159.61233951182,11540.209518791262,0.00011669374706128907
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_adam,2.827271032333374,0.35369796123673736,24473796.946620334,354530.56839077914,1536.6903485844593,868045456.4309325,8656332.0837415,125396.73923592025,543.5242433464945,307025908.2004339,3061727.0098075266,44352.57101347978,192.24341675439538,108594437.77735116,17.69720607140443,3199.34872184487,3402.1713621734184,64.4022057049137,42.49655882564747,7.337386258430162,12.778549850829933,82.35957717895508,23.330709218978882,300.65782045375107,37.61296915230927,601101.8799061086,8707.63909697745,341839.2363264462,42320.568476298205,1.10625434723388e-05
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_adam,0.036095190048217825,27.704522366114382,10520731.845802022,140565.9557600767,1624.2456677588407,255970054.31503788,291471850.72991395,3894312.6652692896,44998.95043048919,7091528094.82648,8075088407.639655,107890072.33559555,1246674.4286531603,196467398713.04874,15.769902914399983,16290804.253596451,19659934.705725405,53.523688475992515,202.09999426467814,7.3927987825314965,11.853432093620103,77.12234544754028,21.791442394256592,115.20290777987117,88422.90429736742,258400.10458095124,3452.445913581428,315200.46324971254,34975.38939285555,7.534824095337304e-05
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_adam,-0.6198783874511719,-1.6132196576683688,2857815.0838372326,57693.07033297722,543.2784567392048,119730804.54047483,-4610283.471227401,-93071.59517240264,-876.4274859994197,-193152087.5131432,7437399.923207608,150144.92690267242,1413.8700489351331,311596744.4958837,12.119863746374827,18874.059908000116,17135.912348174123,44.79141008434059,54.23406245512459,6.297622000165374,10.962892347068523,47.99275255203247,12.404835224151611,46.98366571213872,122.27394058340504,70190.90756801493,1417.0017472297834,80672.07829056717,9162.417442350414,0.00045300834703270685
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_adam,-0.401486724615097,-2.490742379984529,9500213.290432135,87716.58407931222,1243.9894202641847,161016943.37651804,-23662583.86137159,-218479.41339381918,-3098.4571693043904,-401051724.7634627,58937400.443456195,544175.9340941451,7717.458584153345,998916527.4342476,15.521559678583518,96483.8051872243,119786.9939809328,48.70643537352619,70.16457042268686,7.126078768652176,11.381866260589286,66.53139352798462,19.110114812850952,73.61603298534905,456.6989690100781,233335.10859974465,2154.410437580181,237681.80471515429,26694.49383043618,0.0001845249851154651
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr001_sgd,-0.8437364935874939,-1.1852041574592647,4050986.965570964,56775.465172744596,187.68120345696803,166157025.0522828,-4801246.593407998,-67290.51736442058,-222.44054261415664,-196929996.88302878,5690457.423494291,79753.00093789611,263.6374558937932,233402251.03420573,12.127649317120786,4803.0820501965545,3197.3026119378223,44.64801388505889,47.788061184449724,5.2347447971659795,10.946859560207383,36.2722225189209,9.065171718597412,47.90155615458907,67.287742007926,99496.44862180299,1394.4644111543714,28236.33830415016,3334.018170610678,0.00043581357648666576
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lr0001_sgd,-0.8027297496795653,-1.2457492704103483,8009411.226719847,114546.41102230962,338.52793052031376,329671300.58081746,-9977718.192102702,-142696.10795916608,-421.72092245920595,-410687782.17378396,12429735.158171998,177763.57238052742,525.3585314703348,511614005.0094354,12.84647403302874,10042.16142146603,6749.004732563768,51.376711374734434,56.0968607413617,5.824606601563754,11.648735356289194,44.659985065460205,10.841696500778198,91.66761777442184,142.25817344919025,196719.4610555612,2813.3788619798283,54161.11180112228,6913.793931977172,0.00011900579490815577
conv2True_8_16fcTrue_160ReLU00_80ReLU00_lrscheduler_sgd,0.22913255691528323,4.364285955093358,5175164.519673978,100679.79852325497,317.5927381737107,293206378.9077934,22585897.828510605,439395.43065667065,1386.0655266511676,1279636481.4110641,98571316.6761424,1917647.306747105,6049.186310802769,5584699523.44739,13.628838225508574,110515.58599606424,82443.38162589197,50.067795752309465,90.26590720018521,5.760769864419233,11.519700448087685,43.47063875198364,11.12795078754425,85.95339341668686,1637.1535879982116,127107.41730775872,2472.800452373372,54266.718956068726,6716.014543883843,0.00013535488855527495
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr001_sgd,-0.10689871311187742,-9.35464956396085,3506263.1740911417,59880.26342015623,549.7392452256305,133197032.25919007,-32799863.27264368,-560158.8800932253,-5142.617990642111,-1246011559.7443116,306831226.6614117,5240090.023412888,48107.389143777444,11656001494.052301,11.292293192959075,663595.3668070087,543242.7429593113,45.125990202848556,110.36662293797441,6.30944406621601,11.000102237658094,43.840720891952515,10.740596115589142,47.94154104137533,4195.338773900386,86117.46636570804,1470.721481821375,75745.27398156415,8729.02185763757,0.0004350869127534958
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lr0001_sgd,-1.1141413807868956,-0.8975521574234323,3557210.87490664,49420.56561160207,310.9285839796167,131632957.6213203,-3192782.29518255,-44357.535285779726,-279.0746213555178,-118147445.10104328,2865688.637224436,39813.20149373762,250.48402847977252,106043494.24450794,9.586155308175906,3925.912808911738,2401.178799224656,43.426171848171045,41.5887076149278,5.739563252303368,10.808121924471079,41.04931974411011,11.194999516010284,38.10499282922941,30.69737747136153,87368.79482952939,1213.8204366061595,35719.399542562875,4445.88215929401,0.0006887097503712997
conv2True_8_16fcTrue_160ReLU05_80ReLU02_lrscheduler_sgd,-0.7019520044326782,-1.4245988239725962,2624985.0266208337,41547.22903086226,376.8982428078926,100230542.26267974,-3739550.5818697135,-59188.13361668648,-536.9287934614617,-142788312.63354915,5327359.361117631,84319.34554346444,764.9081277222234,203416062.2547855,10.731909170764991,10589.35668115918,8208.924550694808,41.94482793145696,48.323173725113776,5.931975238038535,10.634586108068437,40.98898005485535,10.438618838787079,33.86121000449851,68.72070974380141,64472.359465459434,1020.443110229764,48884.53005401994,5603.639578399221,0.0008721577685707216
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr001_adam,4.070874357223511,0.24564747330645634,206318029.66694567,1039135.6689037076,3446.494561214625,9567293473.286926,50681502.6852517,255261.05148881016,846.6226807268165,2350181468.094284,12449783.078006463,62704.23233177547,207.97072236448116,577316139.4490191,19.88715651018552,3563.9716399010413,4135.946305198777,79.85543041337083,45.543811717610424,8.145112924264001,13.853899837980208,111.26437187194824,28.04724669456482,145.56266101322137,8.783641239679461,5067385.16143697,25522.251631730032,1447266.0210543668,58952.22704312687,4.719543870833459e-05
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lr0001_adam,4.301570653915405,0.23247322442321694,75142953.93508118,784487.1678870887,1696.615208701877,10403687640.886873,17468724.79397358,182372.26143734902,394.41760817239447,2418578811.7689424,4061010.779416834,42396.66766169443,91.6915331411295,562254814.8935987,17.94218395197994,1677.6230859193101,1645.1463544572105,75.48960851553869,42.114955767319046,7.436390491557125,13.572785493962286,89.98074054718018,21.504517674446106,86.24916213361148,4.661232474875397,1845589.0179440628,19267.819881306437,649075.4664829624,27462.1262654283,0.00013442815261586157
conv2True_32_64fcTrue_320ReLU00_160ReLU00_lrscheduler_adam,0.1761053085327149,5.678420533326689,63385928.86511273,302932.6095257254,1428.2356039695433,2486868412.672547,359931959.991641,1720178.7501451154,8110.1223800089,14121484658.20134,2043845032.2170546,9767898.335816264,46052.68545043485,80187728444.18831,18.41577782703685,718942.047371013,848096.0235936207,62.40784834486013,125.00581919785543,7.264195118064569,12.621265648948368,81.99641132354736,19.523938179016113,50.68543845992654,1634.3245804997775,1556824.2673385292,7440.339619877517,549399.5982047396,21822.886123968925,0.0003892544484865072
conv2True_32_64fcTrue_320ReLU05_160ReLU02_lr001_adam,4.3556207656860355,0.2295883994029251,226570663.90410376,1550859.0279721252,8513.973621129062,13782819544.594109,52017996.07740128,356059.2419316965,1954.7095762337476,3164375478.5027146,11942728.459558196,81747.07144771707,448.77864290507614,726503901.2193035,20.397025093012125,6929.287779344473,9153.749240542766,86.51361685421163,48.02467615646948,9.049464048089789,14.254319546971821,145.76604080200195,37.36428642272949,187.88159086908968,9.903395186452935,5564810.89964829,38090.70898220959,3669612.457776188,143862.28594705704,2.832901942861696e-05
