model_name,PAC_Bayes_Sigma,PAC_Bayes_Bound,PAC_Bayes_Flatness,PAC_Bayes_MAG_Sigma,PAC_Bayes_MAG_Bound,PAC_Bayes_MAG_Flatness,Sharpness_Sigma,Sharpness_Bound,Sharpness_Flatness,Sharpness_MAG_Sigma,Sharpness_MAG_Bound,Sharpness_MAG_Flatness
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lr0001_sgd,0.0048828125,88060251340800.0,41943.04,0.0546875,21.417678518412046,334.3673469387755,0.00390625,2992.841495306775,65536.0,0.00390625,2992.841495306775,65536.0
conv4True_4_8_16_32fcTrue_200ReLU00_200ReLU00_160ReLU00_80ReLU00_lrscheduler_sgd,0.008544921875,5503767281664.0,13695.686530612245,0.06640625,21.12679799377822,226.7681660899654,0.0234375,498.80691588446246,1820.4444444444443,0.015625,748.2103738266937,4096.0
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr001_sgd,0.0146484375,3822060044288.0,4660.337777777778,0.08984375,20.674286475771865,123.88657844990549,3.814697265625e-06,3064669.6911941376,68719476736.0,3.814697265625e-06,3064669.6911941376,68719476736.0
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lr0001_sgd,0.00885009765625,80148896415744.0,12767.44142687277,0.0546875,21.417678518412046,334.3673469387755,0.00054931640625,21282.4284110704,3314017.975308642,0.00042724609375,27363.1222428048,5478274.6122448975
conv4True_4_8_16_32fcTrue_200ReLU05_200ReLU03_160ReLU03_80ReLU02_lrscheduler_sgd,0.0146484375,4909223116800.0,4660.337777777778,0.078125,20.88344086085027,163.84,0.078125,149.64207476533875,163.84,0.046875,249.40345794223123,455.1111111111111
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr001_adam,0.09857177734375,368606707712.0,102.91882640493056,0.0625,20.96906433732012,256.0,0.0625,202.9594860329102,256.0,0.0625,202.9594860329102,256.0
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lr0001_adam,0.00701904296875,2663594328064.0,20297.577013232512,0.056640625,21.11655056892396,311.70511296076097,0.000377655029296875,33588.769890537376,7011476.046933986,0.000377655029296875,33588.769890537376,7011476.046933986
conv4True_8_16_32_64fcTrue_400ReLU00_320ReLU00_160ReLU00_80ReLU00_lrscheduler_adam,0.087890625,234213916672.0,129.45382716049383,0.0625,20.96906433732012,256.0,0.25,50.73987150822755,16.0,0.21875762939453125,57.98640217562168,20.89650153398457
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr001_adam,0.0830078125,2045773217792.0,145.13162629757787,0.0625,20.96906433732012,256.0,0.03125,405.9189720658204,1024.0,0.03125,405.9189720658204,1024.0
conv4True_8_16_32_64fcTrue_400ReLU05_320ReLU03_160ReLU03_80ReLU02_lr0001_adam,0.01068115234375,3522909700096.0,8765.239379591836,0.0546875,21.169133348581724,334.3673469387755,0.0009765625,12989.407106106253,1048576.0,0.0009765625,12989.407106106253,1048576.0
